source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1008	239	0.15	-2.016	NA	NA	Vinylogous esters
1008	241	0.17	-44.026	NA	NA	Vinylogous esters
1008	264	0.11	85.032	NA	NA	Vinylogous esters
1008	277	0.11	-32.062	NA	NA	Vinylogous esters
1008	279	0.19	-64.052	NA	NA	Vinylogous esters
1008	280	0.27	146.036	NA	NA	Vinylogous esters
1008	292	0.11	-46.041	NA	NA	Vinylogous esters
1008	295	0.12	0.959	NA	NA	Vinylogous esters
1008	296	0.16	334.065	NA	NA	Vinylogous esters
1008	311	0.14	-46.041	NA	NA	Vinylogous esters
1008	338	0.13	5.950	NA	NA	Vinylogous esters
1008	347	0.11	-48.021	NA	NA	Vinylogous esters
1008	348	0.15	146.037	NA	NA	Vinylogous esters
1008	360	0.12	102.010	NA	NA	Vinylogous esters
1008	367	0.17	-48.058	NA	NA	Vinylogous esters
1008	404	0.26	360.082	NA	NA	Vinylogous esters
1008	408	0.23	176.047	NA	NA	Vinylogous esters
1008	426	0.11	100.016	NA	NA	Vinylogous esters
1008	435	0.14	100.016	NA	NA	Vinylogous esters
1008	458	0.15	-210.074	NA	NA	Vinylogous esters
1008	485	0.18	326.100	NA	NA	Vinylogous esters
1008	494	0.15	-62.037	NA	NA	Vinylogous esters
1008	495	0.19	-48.021	NA	NA	Vinylogous esters
1008	506	0.14	70.006	NA	NA	Vinylogous esters
1008	512	0.12	-30.010	NA	NA	Vinylogous esters
1008	548	0.16	298.061	NA	NA	Vinylogous esters
1008	552	0.26	120.021	NA	NA	Vinylogous esters
1008	561	0.14	-48.021	NA	NA	Vinylogous esters
1008	574	0.15	-18.046	NA	NA	Vinylogous esters
1008	577	0.17	160.037	NA	NA	Vinylogous esters
1008	592	0.13	-18.010	NA	NA	Vinylogous esters
1008	597	0.19	-2.015	NA	NA	Vinylogous esters
1008	614	0.19	70.006	NA	NA	Vinylogous esters
1008	632	0.22	-32.026	NA	NA	Vinylogous esters
1008	659	0.13	-44.026	NA	NA	Vinylogous esters
1008	670	0.13	-2.015	NA	NA	Vinylogous esters
1008	673	0.15	-62.072	NA	NA	Vinylogous esters
1008	681	0.16	70.021	NA	NA	Vinylogous esters
1008	691	0.18	164.047	NA	NA	Vinylogous esters
1008	695	0.12	-4.031	NA	NA	Vinylogous esters
1008	710	0.31	13.980	NA	NA	Vinylogous esters
1008	715	0.21	144.042	NA	NA	Vinylogous esters
1008	722	0.15	-32.062	NA	NA	Vinylogous esters
1008	749	0.22	266.043	NA	NA	Vinylogous esters
1008	754	0.11	65.027	NA	NA	Vinylogous esters
1008	773	0.18	-228.085	NA	NA	Vinylogous esters
1008	777	0.21	42.010	NA	NA	Vinylogous esters
1008	791	0.19	-10.080	NA	NA	Vinylogous esters
1008	821	0.27	51.995	NA	NA	Vinylogous esters
1008	835	0.22	120.021	NA	NA	Vinylogous esters
1008	838	0.15	310.105	NA	NA	Vinylogous esters
1008	855	0.14	-30.010	NA	NA	Vinylogous esters
1008	862	0.22	308.090	NA	NA	Vinylogous esters
1008	865	0.22	-48.057	NA	NA	Vinylogous esters
1008	890	0.18	150.031	NA	NA	Vinylogous esters
1008	898	0.14	266.043	NA	NA	Vinylogous esters
1008	918	0.15	-76.052	NA	NA	Vinylogous esters
1008	944	0.13	-92.047	NA	NA	Vinylogous esters
1008	952	0.16	103.990	NA	NA	Vinylogous esters
1008	958	0.25	99.995	NA	NA	Vinylogous esters
1008	962	0.17	-32.026	NA	NA	Vinylogous esters
1008	991	0.22	-30.010	NA	NA	Vinylogous esters
1016	233	0.25	-2.016	NA	NA	Vinylogous esters
1016	241	0.11	15.995	NA	NA	Vinylogous esters
1016	242	0.21	372.105	NA	NA	Vinylogous esters
1016	259	0.18	188.047	NA	NA	Vinylogous esters
1016	264	0.14	145.052	NA	NA	Vinylogous esters
1016	277	0.19	27.958	NA	NA	Vinylogous esters
1016	279	0.22	-4.031	NA	NA	Vinylogous esters
1016	280	0.17	206.057	NA	NA	Vinylogous esters
1016	281	0.20	13.980	NA	NA	Vinylogous esters
1016	295	0.18	60.980	NA	NA	Vinylogous esters
1016	296	0.29	394.086	NA	NA	Vinylogous esters
1016	311	0.19	13.980	NA	NA	Vinylogous esters
1016	322	0.14	206.057	NA	NA	Vinylogous esters
1016	338	0.31	65.971	NA	NA	Vinylogous esters
1016	347	0.20	12.000	NA	NA	Vinylogous esters
1016	348	0.15	206.058	NA	NA	Vinylogous esters
1016	360	0.17	162.031	NA	NA	Vinylogous esters
1016	367	0.12	11.963	NA	NA	Vinylogous esters
1016	388	0.27	-0.011	NA	NA	Vinylogous esters
1016	426	0.28	160.037	NA	NA	Vinylogous esters
1016	435	0.20	160.037	NA	NA	Vinylogous esters
1016	485	0.18	386.121	NA	NA	Vinylogous esters
1016	494	0.26	-2.016	NA	NA	Vinylogous esters
1016	503	0.28	-2.016	NA	NA	Vinylogous esters
1016	506	0.21	130.027	NA	NA	Vinylogous esters
1016	512	0.17	30.010	NA	NA	Vinylogous esters
1016	543	0.13	188.032	NA	NA	Vinylogous esters
1016	552	0.12	180.042	NA	NA	Vinylogous esters
1016	561	0.12	12.000	NA	NA	Vinylogous esters
1016	562	0.25	111.068	NA	NA	Vinylogous esters
1016	574	0.16	41.974	NA	NA	Vinylogous esters
1016	577	0.20	220.058	NA	NA	Vinylogous esters
1016	592	0.14	42.011	NA	NA	Vinylogous esters
1016	597	0.16	58.005	NA	NA	Vinylogous esters
1016	604	0.17	178.048	NA	NA	Vinylogous esters
1016	614	0.13	130.027	NA	NA	Vinylogous esters
1016	624	0.30	13.980	NA	NA	Vinylogous esters
1016	632	0.21	27.995	NA	NA	Vinylogous esters
1016	659	0.21	15.995	NA	NA	Vinylogous esters
1016	670	0.20	58.005	NA	NA	Vinylogous esters
1016	673	0.17	-2.052	NA	NA	Vinylogous esters
1016	681	0.14	130.042	NA	NA	Vinylogous esters
1016	691	0.13	224.068	NA	NA	Vinylogous esters
1016	695	0.30	55.989	NA	NA	Vinylogous esters
1016	715	0.16	204.063	NA	NA	Vinylogous esters
1016	722	0.18	27.958	NA	NA	Vinylogous esters
1016	749	0.20	326.064	NA	NA	Vinylogous esters
1016	754	0.11	125.048	NA	NA	Vinylogous esters
1016	777	0.23	102.031	NA	NA	Vinylogous esters
1016	791	0.19	49.941	NA	NA	Vinylogous esters
1016	821	0.17	112.016	NA	NA	Vinylogous esters
1016	835	0.16	180.042	NA	NA	Vinylogous esters
1016	838	0.18	370.126	NA	NA	Vinylogous esters
1016	855	0.25	30.010	NA	NA	Vinylogous esters
1016	865	0.18	11.964	NA	NA	Vinylogous esters
1016	890	0.13	210.052	NA	NA	Vinylogous esters
1016	898	0.14	326.064	NA	NA	Vinylogous esters
1016	918	0.14	-16.031	NA	NA	Vinylogous esters
1016	928	0.14	196.073	NA	NA	Vinylogous esters
1016	93	0.22	1.956	NA	NA	Vinylogous esters
1016	931	0.16	386.121	NA	NA	Vinylogous esters
1016	944	0.16	-32.026	NA	NA	Vinylogous esters
1016	952	0.13	164.011	NA	NA	Vinylogous esters
1016	958	0.11	160.016	NA	NA	Vinylogous esters
1016	961	0.17	81.967	NA	NA	Vinylogous esters
1016	962	0.19	27.995	NA	NA	Vinylogous esters
1016	991	0.18	30.010	NA	NA	Vinylogous esters
1020	1008	0.17	194.079	NA	NA	Vinylogous esters
1020	1016	0.16	134.058	NA	NA	Vinylogous esters
1020	233	0.20	132.042	NA	NA	Vinylogous esters
1020	241	0.30	150.053	NA	NA	Vinylogous esters
1020	242	0.11	506.163	NA	NA	Vinylogous esters
1020	277	0.33	162.016	NA	NA	Vinylogous esters
1020	279	0.37	130.027	NA	NA	Vinylogous esters
1020	280	0.15	340.115	NA	NA	Vinylogous esters
1020	281	0.35	148.038	NA	NA	Vinylogous esters
1020	292	0.19	148.037	NA	NA	Vinylogous esters
1020	295	0.13	195.038	NA	NA	Vinylogous esters
1020	296	0.15	528.144	NA	NA	Vinylogous esters
1020	311	0.36	148.038	NA	NA	Vinylogous esters
1020	338	0.15	200.029	NA	NA	Vinylogous esters
1020	347	0.13	146.058	NA	NA	Vinylogous esters
1020	348	0.16	340.116	NA	NA	Vinylogous esters
1020	360	0.13	296.089	NA	NA	Vinylogous esters
1020	367	0.27	146.021	NA	NA	Vinylogous esters
1020	388	0.16	134.047	NA	NA	Vinylogous esters
1020	408	0.19	370.126	NA	NA	Vinylogous esters
1020	426	0.18	294.095	NA	NA	Vinylogous esters
1020	435	0.12	294.095	NA	NA	Vinylogous esters
1020	458	0.35	-15.995	NA	NA	Vinylogous esters
1020	494	0.20	132.042	NA	NA	Vinylogous esters
1020	495	0.23	146.058	NA	NA	Vinylogous esters
1020	502	0.12	144.042	NA	NA	Vinylogous esters
1020	503	0.12	132.042	NA	NA	Vinylogous esters
1020	506	0.24	264.085	NA	NA	Vinylogous esters
1020	512	0.19	164.068	NA	NA	Vinylogous esters
1020	525	0.26	-15.995	NA	NA	Vinylogous esters
1020	543	0.13	322.090	NA	NA	Vinylogous esters
1020	548	0.11	492.139	NA	NA	Vinylogous esters
1020	552	0.13	314.100	NA	NA	Vinylogous esters
1020	561	0.23	146.058	NA	NA	Vinylogous esters
1020	574	0.34	176.032	NA	NA	Vinylogous esters
1020	577	0.14	354.116	NA	NA	Vinylogous esters
1020	592	0.11	176.069	NA	NA	Vinylogous esters
1020	604	0.27	312.106	NA	NA	Vinylogous esters
1020	614	0.27	264.085	NA	NA	Vinylogous esters
1020	624	0.21	148.038	NA	NA	Vinylogous esters
1020	632	0.21	162.053	NA	NA	Vinylogous esters
1020	641	0.14	-34.006	NA	NA	Vinylogous esters
1020	659	0.31	150.053	NA	NA	Vinylogous esters
1020	670	0.12	192.063	NA	NA	Vinylogous esters
1020	673	0.16	132.006	NA	NA	Vinylogous esters
1020	681	0.18	264.100	NA	NA	Vinylogous esters
1020	695	0.11	190.047	NA	NA	Vinylogous esters
1020	710	0.31	208.059	NA	NA	Vinylogous esters
1020	722	0.20	162.016	NA	NA	Vinylogous esters
1020	749	0.14	460.122	NA	NA	Vinylogous esters
1020	754	0.17	259.106	NA	NA	Vinylogous esters
1020	773	0.18	-34.006	NA	NA	Vinylogous esters
1020	777	0.11	236.089	NA	NA	Vinylogous esters
1020	791	0.13	183.999	NA	NA	Vinylogous esters
1020	817	0.11	346.126	NA	NA	Vinylogous esters
1020	821	0.14	246.074	NA	NA	Vinylogous esters
1020	835	0.17	314.100	NA	NA	Vinylogous esters
1020	838	0.18	504.184	NA	NA	Vinylogous esters
1020	855	0.17	164.068	NA	NA	Vinylogous esters
1020	865	0.24	146.022	NA	NA	Vinylogous esters
1020	890	0.39	344.110	NA	NA	Vinylogous esters
1020	898	0.19	460.121	NA	NA	Vinylogous esters
1020	918	0.40	118.027	NA	NA	Vinylogous esters
1020	928	0.13	330.131	NA	NA	Vinylogous esters
1020	929	0.26	216.025	NA	NA	Vinylogous esters
1020	944	0.25	102.032	NA	NA	Vinylogous esters
1020	952	0.20	298.069	NA	NA	Vinylogous esters
1020	958	0.20	294.074	NA	NA	Vinylogous esters
1020	961	0.28	216.025	NA	NA	Vinylogous esters
1020	962	0.33	162.053	NA	NA	Vinylogous esters
1020	991	0.24	164.068	NA	NA	Vinylogous esters
1029	1008	0.23	-362.097	NA	NA	Vinylogous esters
1029	1020	0.13	-556.175	NA	NA	Vinylogous esters
1029	233	0.17	-424.133	NA	NA	Vinylogous esters
1029	242	0.23	-50.013	NA	NA	Vinylogous esters
1029	277	0.13	-394.159	NA	NA	Vinylogous esters
1029	279	0.21	-426.149	NA	NA	Vinylogous esters
1029	280	0.13	-216.060	NA	NA	Vinylogous esters
1029	296	0.16	-28.031	NA	NA	Vinylogous esters
1029	338	0.18	-356.146	NA	NA	Vinylogous esters
1029	348	0.11	-216.060	NA	NA	Vinylogous esters
1029	388	0.15	-422.129	NA	NA	Vinylogous esters
1029	404	0.20	-2.015	NA	NA	Vinylogous esters
1029	408	0.12	-186.050	NA	NA	Vinylogous esters
1029	426	0.13	-262.080	NA	NA	Vinylogous esters
1029	435	0.17	-262.081	NA	NA	Vinylogous esters
1029	458	0.12	-572.171	NA	NA	Vinylogous esters
1029	485	0.11	-35.997	NA	NA	Vinylogous esters
1029	494	0.17	-424.133	NA	NA	Vinylogous esters
1029	495	0.11	-410.118	NA	NA	Vinylogous esters
1029	506	0.21	-292.091	NA	NA	Vinylogous esters
1029	548	0.17	-64.036	NA	NA	Vinylogous esters
1029	552	0.11	-242.076	NA	NA	Vinylogous esters
1029	614	0.17	-292.091	NA	NA	Vinylogous esters
1029	632	0.15	-394.123	NA	NA	Vinylogous esters
1029	673	0.13	-424.169	NA	NA	Vinylogous esters
1029	710	0.15	-348.117	NA	NA	Vinylogous esters
1029	715	0.14	-218.054	NA	NA	Vinylogous esters
1029	722	0.17	-394.159	NA	NA	Vinylogous esters
1029	749	0.15	-96.054	NA	NA	Vinylogous esters
1029	773	0.12	-590.182	NA	NA	Vinylogous esters
1029	777	0.12	-320.087	NA	NA	Vinylogous esters
1029	791	0.15	-372.177	NA	NA	Vinylogous esters
1029	821	0.17	-310.102	NA	NA	Vinylogous esters
1029	835	0.12	-242.076	NA	NA	Vinylogous esters
1029	838	0.13	-51.992	NA	NA	Vinylogous esters
1029	855	0.14	-392.107	NA	NA	Vinylogous esters
1029	865	0.13	-410.154	NA	NA	Vinylogous esters
1029	890	0.19	-212.066	NA	NA	Vinylogous esters
1029	898	0.18	-96.054	NA	NA	Vinylogous esters
1029	952	0.11	-258.107	NA	NA	Vinylogous esters
1064	1008	0.12	44.028	NA	NA	Vinylogous esters
1064	1016	0.24	-15.993	NA	NA	Vinylogous esters
1064	1020	0.13	-150.051	NA	NA	Vinylogous esters
1064	233	0.37	-18.009	NA	NA	Vinylogous esters
1064	239	0.12	42.012	NA	NA	Vinylogous esters
1064	241	0.38	0.002	NA	NA	Vinylogous esters
1064	242	0.36	356.112	NA	NA	Vinylogous esters
1064	259	0.20	172.054	NA	NA	Vinylogous esters
1064	264	0.22	129.060	NA	NA	Vinylogous esters
1064	277	0.21	11.966	NA	NA	Vinylogous esters
1064	279	0.35	-20.024	NA	NA	Vinylogous esters
1064	280	0.18	190.064	NA	NA	Vinylogous esters
1064	281	0.51	-2.013	NA	NA	Vinylogous esters
1064	292	0.15	-2.013	NA	NA	Vinylogous esters
1064	295	0.16	44.987	NA	NA	Vinylogous esters
1064	296	0.36	378.094	NA	NA	Vinylogous esters
1064	311	0.50	-2.013	NA	NA	Vinylogous esters
1064	322	0.31	190.065	NA	NA	Vinylogous esters
1064	338	0.35	49.979	NA	NA	Vinylogous esters
1064	347	0.54	-3.993	NA	NA	Vinylogous esters
1064	348	0.15	190.065	NA	NA	Vinylogous esters
1064	360	0.19	146.039	NA	NA	Vinylogous esters
1064	367	0.27	-4.030	NA	NA	Vinylogous esters
1064	388	0.29	-16.004	NA	NA	Vinylogous esters
1064	404	0.11	404.110	NA	NA	Vinylogous esters
1064	408	0.22	220.075	NA	NA	Vinylogous esters
1064	426	0.37	144.044	NA	NA	Vinylogous esters
1064	435	0.39	144.044	NA	NA	Vinylogous esters
1064	485	0.46	370.128	NA	NA	Vinylogous esters
1064	494	0.44	-18.009	NA	NA	Vinylogous esters
1064	495	0.21	-3.993	NA	NA	Vinylogous esters
1064	502	0.26	-6.008	NA	NA	Vinylogous esters
1064	503	0.23	-18.008	NA	NA	Vinylogous esters
1064	506	0.31	114.034	NA	NA	Vinylogous esters
1064	512	0.23	14.018	NA	NA	Vinylogous esters
1064	525	0.15	-166.046	NA	NA	Vinylogous esters
1064	543	0.15	172.039	NA	NA	Vinylogous esters
