id	definition_source	definition	definition_pp	definition_description	specific	specific_pp	level_5	level_5_pp	subclass	subclass_pp	class	class_pp	superclass	superclass_pp
1	class	Fatty Acyls	0.8040	Organic molecules synthesized by chain elongation of an acetyl-CoA primer with malonyl-CoA (or methylmalonyl-CoA) groups that might contain a cyclic functionality and/or are substituted with heteroatoms.	Fatty Acyls	0.8040					Fatty Acyls	0.8040	Lipids and lipid-like molecules	0.8880
2	subclass	Carboxylic acids	0.6310	Compounds containing a carboxylic acid group with the formula -C(=O)OH.	Carboxylic acids	0.6310			Carboxylic acids	0.6310	Carboxylic acids and derivatives	0.6660	Organic acids and derivatives	0.7150
3	level_5	Amino acids and derivatives	0.8230	Organic compounds containing an amine group, a carboxylic acid group (or a derivative thereof), and a side-chain that is specific to each amino acid.	Amino acids and derivatives	0.8230	Amino acids and derivatives	0.8230	Amino acids, peptides, and analogues	0.8180	Carboxylic acids and derivatives	0.8480	Organic acids and derivatives	0.8710
4	level_5	Aralkylamines	0.5100	Alkylamines in which the alkyl group is substituted at one carbon atom by an aromatic hydrocarbyl group.	Aralkylamines	0.5100	Aralkylamines	0.5100	Amines	0.9220	Organonitrogen compounds	0.9990	Organic nitrogen compounds	1.0000
5	level_5	Carboxylic acid amides	0.7140	Carboxylic acid derivatives containing a carbonyl group in which the carbon atom is linked to a nitrogen atom (substituted or not). The general formula of the carboxylic acid amide is R1C(=O)N(R2)R3 (R1,R2,R3=H, alkyl, aryl).	Carboxylic acid amides	0.7140	Carboxylic acid amides	0.7140	Carboxylic acid derivatives	0.7030	Carboxylic acids and derivatives	0.8840	Organic acids and derivatives	0.9650
6	level_5	Long-chain fatty acids	0.9980	Fatty acids with an aliphatic tail that contains between 13 and 21 carbon atoms.	Long-chain fatty acids	0.9980	Long-chain fatty acids	0.9980	Fatty acids and conjugates	0.9950	Fatty Acyls	1.0000	Lipids and lipid-like molecules	1.0000
7	class	Fatty Acyls	0.5220	Organic molecules synthesized by chain elongation of an acetyl-CoA primer with malonyl-CoA (or methylmalonyl-CoA) groups that might contain a cyclic functionality and/or are substituted with heteroatoms.	Fatty Acyls	0.5220					Fatty Acyls	0.5220	Lipids and lipid-like molecules	0.8040
8	class	Carboxylic acids and derivatives	0.9670	Compounds containing a carboxylic acid group with the formula -C(=O)OH or a derivative thereof.	Amino acids	0.5950	Amino acids and derivatives	0.3620	Amino acids, peptides, and analogues	0.3460	Carboxylic acids and derivatives	0.9670	Organic acids and derivatives	0.9760
9	subclass	Sesquiterpenoids	0.5760	Terpenes with three consecutive isoprene units.	Sesquiterpenoids	0.5760			Sesquiterpenoids	0.5760	Prenol lipids	0.6780	Lipids and lipid-like molecules	0.9200
11	null	null	null	null	Amino acids and derivatives	0.0000	Amino acids and derivatives	0.0000	Amino acids, peptides, and analogues	0.0000	Carboxylic acids and derivatives	0.1300	Organic acids and derivatives	0.0960
12	level_5	Amino acids and derivatives	1.0000	Organic compounds containing an amine group, a carboxylic acid group (or a derivative thereof), and a side-chain that is specific to each amino acid.	N-acyl-alpha amino acids	0.9820	Amino acids and derivatives	1.0000	Amino acids, peptides, and analogues	1.0000	Carboxylic acids and derivatives	1.0000	Organic acids and derivatives	1.0000
14	level_5	Benzoic acid esters	0.9090	Ester derivatives of benzoic acid.	Benzoic acid esters	0.9090	Benzoic acid esters	0.9090	Benzoic acids and derivatives	0.9540	Benzene and substituted derivatives	0.9950	Benzenoids	1.0000
16	level_5	Peptides	0.9930	Compounds containing an amide derived from two or more amino carboxylic acid molecules (the same or different) by formation of a covalent bond from the carbonyl carbon of one to the nitrogen atom of another.	Oligopeptides	0.9780	Peptides	0.9930	Amino acids, peptides, and analogues	0.9790	Carboxylic acids and derivatives	0.9680	Organic acids and derivatives	0.9740
17	level_5	Cyclic alcohols and derivatives	0.5840	Organic compounds containing an aliphatic ring substituted with at least one hydroxyl group.	Cyclic alcohols and derivatives	0.5840	Cyclic alcohols and derivatives	0.5840	Alcohols and polyols	0.9940	Organooxygen compounds	1.0000	Organic oxygen compounds	1.0000
18	class	Phenol ethers	0.5430	Aromatic compounds containing an ether group substituted with a benzene ring.	Phenol ethers	0.5430					Phenol ethers	0.5430	Benzenoids	0.9140
19	superclass	Nucleosides, nucleotides, and analogues	0.7790	Compounds containing a nucleobase linked to a ribose or deoxyribose sugar via a beta-glycosidic linkage. The ribose or deoxyribose moiety bears at least a phosphate group in case of nucleotides.	Purine ribonucleoside monophosphates	0.0460	Purine ribonucleoside monophosphates	0.0460	Purine ribonucleotides	0.0060	Purine nucleotides	0.0490	Nucleosides, nucleotides, and analogues	0.7790
20	subclass	Amino acids, peptides, and analogues	0.9870	Organic compounds containing an amino acid or a peptide backbone, or derivatives thereof.	Oligopeptides	0.0000	Peptides	0.0000	Amino acids, peptides, and analogues	0.9870	Carboxylic acids and derivatives	1.0000	Organic acids and derivatives	1.0000
21	class	Benzene and substituted derivatives	0.5900	Aromatic compounds containing one monocyclic ring system consisting of benzene.	Benzene and substituted derivatives	0.5900					Benzene and substituted derivatives	0.5900	Benzenoids	0.6290
22	class	Prenol lipids	0.8200	Lipids synthesized from the five-carbon-unit precursors isopentenyl diphosphate and dimethylallyl diphosphate.	Prenol lipids	0.8200					Prenol lipids	0.8200	Lipids and lipid-like molecules	0.8470
23	null	null	null	null	Purine nucleosides	0.0030					Purine nucleosides	0.0030	Nucleosides, nucleotides, and analogues	0.0070
24	superclass	Benzenoids	0.5100	Aromatic compounds containing one or more benzene rings.	Benzenoids	0.5100							Benzenoids	0.5100
25	class	Lactams	0.5330	Compounds containing a lactam ring, which is a cyclic amide of amino carboxylic acids, having a 1-azacycloalkan-2-one structure (or an analogue having unsaturation or heteroatoms replacing one or more carbon atoms of the ring).	Lactams	0.5330					Lactams	0.5330	Organoheterocyclic compounds	0.8260
