"source"	"target"	"group_sub"	"group"	"ftalign_similarity"	"delta_m.z"	"source_fp_uniq"	"target_fp_uniq"	"facet_c"	"norm_delta_group"	"norm_delta_group_sub"	"sub_similarity"
281	279	281	279	0.35	-18.011	NA	NA	"Iridoids and derivatives"	7.89894	-7.56017	0.698197938314471
496	279	496	279	0.47	-4.031	NA	NA	"Iridoids and derivatives"	7.89894	-7.55257	0.714792258102598
347	279	347	279	0.37	-16.031	NA	NA	"Iridoids and derivatives"	7.89894	-7.47652	0.665861700478708
1203	279	1203	279	0.33	7.968	NA	NA	"Iridoids and derivatives"	7.89894	-7.03639	0.667727718504486
659	279	659	279	0.35	-20.026	NA	NA	"Iridoids and derivatives"	7.89894	-7.0031	0.656220598841861
1308	279	1308	279	0.23	-154.063	NA	NA	"Iridoids and derivatives"	7.89894	-6.7023	0.587646841122253
1698	279	1698	279	0.31	-348.142	NA	NA	"Iridoids and derivatives"	7.89894	-6.58861	0.618930570182532
4180	279	4180	279	0.29	-8.026	NA	NA	"Iridoids and derivatives"	7.89894	-6.54419	0.648781475508819
4113	279	4113	279	0.32	7.968	NA	NA	"Iridoids and derivatives"	7.89894	-6.53518	0.678434888765356
4786	279	4786	279	0.45	-20.026	NA	NA	"Iridoids and derivatives"	7.89894	-6.43872	0.692295344571541
2533	279	2533	279	0.41	-22.042	NA	NA	"Iridoids and derivatives"	7.89894	-6.36433	0.633771113837575
1758	279	1758	279	0.21	-182.057	NA	NA	"Iridoids and derivatives"	7.89894	-6.33154	0.618086660262287
766	279	766	279	0.29	23.964	NA	NA	"Iridoids and derivatives"	7.89894	-6.11629	0.635590082997296
1130	279	1130	279	0.33	-20.027	NA	NA	"Iridoids and derivatives"	7.89894	-6.07306	0.688196486671387
4776	279	4776	279	0.23	-36.021	NA	NA	"Iridoids and derivatives"	7.89894	-6.01732	0.683470470757096
2451	279	2451	279	0.24	-172.051	NA	NA	"Iridoids and derivatives"	7.89894	-5.94857	0.513362052269885
4434	279	4434	279	0.22	128.011	NA	NA	"Iridoids and derivatives"	7.89894	-5.90731	0.517265882801524
3225	279	3225	279	0.25	-4.031	NA	NA	"Iridoids and derivatives"	7.89894	-5.8503	0.683725547956636
3546	279	3546	279	0.37	-22.042	NA	NA	"Iridoids and derivatives"	7.89894	-5.25057	0.603237211437399
2171	279	2171	279	0.27	-154.062	NA	NA	"Iridoids and derivatives"	7.89894	-5.11935	0.638524859696729
3206	279	3206	279	0.25	-144.04	NA	NA	"Iridoids and derivatives"	7.89894	-4.79598	0.583074104938716
2268	279	2268	279	0.34	-16.031	NA	NA	"Iridoids and derivatives"	7.89894	-4.49059	0.713840403891637
2415	458	2415	458	0.23	-312.085	NA	NA	"Iridoids and derivatives"	-8.19487	5.1532	0.634160758753664
3993	458	3993	458	0.25	-344.111	NA	NA	"Iridoids and derivatives"	-8.19487	5.46732	0.57194070182917
2729	458	2729	458	0.33	-208.059	NA	NA	"Iridoids and derivatives"	-8.19487	5.47837	0.706655133752857
2220	458	2220	458	0.23	-168.064	NA	NA	"Iridoids and derivatives"	-8.19487	5.52844	0.673995545362471
3465	458	3465	458	0.21	0	NA	NA	"Iridoids and derivatives"	-8.19487	5.70266	0.509297162734349
865	458	865	458	0.23	-162.017	NA	NA	"Iridoids and derivatives"	-8.19487	6.33279	0.623789849046387
1446	458	1446	458	0.23	-324.106	NA	NA	"Iridoids and derivatives"	-8.19487	6.50006	0.682284249922831
695	458	695	458	0.28	-206.043	NA	NA	"Iridoids and derivatives"	-8.19487	6.99867	0.658166098309201
495	458	495	458	0.42	-162.053	NA	NA	"Iridoids and derivatives"	-8.19487	7.21245	0.782780857762214
525	458	525	458	0.35	0	NA	NA	"Iridoids and derivatives"	-8.19487	7.21564	0.582304017123556
458	292	292	458	0.22	164.033	NA	NA	"Iridoids and derivatives"	-8.19487	7.80391	0.603611026923766
458	239	239	458	0.28	208.058	NA	NA	"Iridoids and derivatives"	-8.19487	8.48596	0.682142560511264
574	281	281	574	0.34	-27.995	NA	NA	"Iridoids and derivatives"	7.3205	-7.56017	0.698197938314471
1203	574	1203	574	0.22	53.974	NA	NA	"Iridoids and derivatives"	7.3205	-7.03639	0.667727718504486
659	574	659	574	0.43	25.979	NA	NA	"Iridoids and derivatives"	7.3205	-7.0031	0.656220598841861
1308	574	1308	574	0.24	-108.057	NA	NA	"Iridoids and derivatives"	7.3205	-6.7023	0.587646841122253
1698	574	1698	574	0.28	-302.136	NA	NA	"Iridoids and derivatives"	7.3205	-6.58861	0.618930570182532
4180	574	4180	574	0.23	37.979	NA	NA	"Iridoids and derivatives"	7.3205	-6.54419	0.648781475508819
4786	574	4786	574	0.41	25.979	NA	NA	"Iridoids and derivatives"	7.3205	-6.43872	0.692295344571541
2533	574	2533	574	0.22	23.963	NA	NA	"Iridoids and derivatives"	7.3205	-6.36433	0.633771113837575
1758	574	1758	574	0.31	-136.052	NA	NA	"Iridoids and derivatives"	7.3205	-6.33154	0.618086660262287
1130	574	1130	574	0.32	25.979	NA	NA	"Iridoids and derivatives"	7.3205	-6.07306	0.688196486671387
4776	574	4776	574	0.25	9.985	NA	NA	"Iridoids and derivatives"	7.3205	-6.01732	0.683470470757096
2451	574	2451	574	0.31	-126.045	NA	NA	"Iridoids and derivatives"	7.3205	-5.94857	0.513362052269885
4434	574	4434	574	0.3	174.017	NA	NA	"Iridoids and derivatives"	7.3205	-5.90731	0.517265882801524
3225	574	3225	574	0.25	41.974	NA	NA	"Iridoids and derivatives"	7.3205	-5.8503	0.683725547956636
2898	574	2898	574	0.23	27.958	NA	NA	"Iridoids and derivatives"	7.3205	-5.81077	0.60498182720487
1266	574	1266	574	0.21	-78.047	NA	NA	"Iridoids and derivatives"	7.3205	-5.63364	0.55870613927011
3546	574	3546	574	0.29	23.963	NA	NA	"Iridoids and derivatives"	7.3205	-5.25057	0.603237211437399
2171	574	2171	574	0.26	-108.057	NA	NA	"Iridoids and derivatives"	7.3205	-5.11935	0.638524859696729
3206	574	3206	574	0.39	-98.034	NA	NA	"Iridoids and derivatives"	7.3205	-4.79598	0.583074104938716
1107	281	281	1107	0.23	-176.067	NA	NA	"Iridoids and derivatives"	6.74928	-7.56017	0.698197938314471
1107	496	496	1107	0.25	-190.047	NA	NA	"Iridoids and derivatives"	6.74928	-7.55257	0.714792258102598
1107	347	347	1107	0.23	-178.047	NA	NA	"Iridoids and derivatives"	6.74928	-7.47652	0.665861700478708
1203	1107	1203	1107	0.23	202.047	NA	NA	"Iridoids and derivatives"	6.74928	-7.03639	0.667727718504486
1107	659	659	1107	0.31	-174.052	NA	NA	"Iridoids and derivatives"	6.74928	-7.0031	0.656220598841861
1698	1107	1698	1107	0.21	-154.064	NA	NA	"Iridoids and derivatives"	6.74928	-6.58861	0.618930570182532
4113	1107	4113	1107	0.23	202.047	NA	NA	"Iridoids and derivatives"	6.74928	-6.53518	0.678434888765356
1107	766	766	1107	0.23	-218.042	NA	NA	"Iridoids and derivatives"	6.74928	-6.11629	0.635590082997296
1130	1107	1130	1107	0.21	174.052	NA	NA	"Iridoids and derivatives"	6.74928	-6.07306	0.688196486671387
3385	1107	3385	1107	0.21	102.033	NA	NA	"Iridoids and derivatives"	6.74928	-6.05939	0.576564830288385
1107	597	597	1107	0.33	-132.041	NA	NA	"Iridoids and derivatives"	6.74928	-5.85651	0.675152459996882
3225	1107	3225	1107	0.22	190.047	NA	NA	"Iridoids and derivatives"	6.74928	-5.8503	0.683725547956636
2898	1107	2898	1107	0.28	176.031	NA	NA	"Iridoids and derivatives"	6.74928	-5.81077	0.60498182720487
1266	1107	1266	1107	0.26	70.026	NA	NA	"Iridoids and derivatives"	6.74928	-5.63364	0.55870613927011
3546	1107	3546	1107	0.25	172.036	NA	NA	"Iridoids and derivatives"	6.74928	-5.25057	0.603237211437399
2171	1107	2171	1107	0.24	40.016	NA	NA	"Iridoids and derivatives"	6.74928	-5.11935	0.638524859696729
2268	1107	2268	1107	0.24	178.047	NA	NA	"Iridoids and derivatives"	6.74928	-4.49059	0.713840403891637
2227	281	281	2227	0.37	-14.015	NA	NA	"Iridoids and derivatives"	6.40694	-7.56017	0.698197938314471
2227	496	496	2227	0.38	-27.995	NA	NA	"Iridoids and derivatives"	6.40694	-7.55257	0.714792258102598
2227	347	347	2227	0.31	-15.995	NA	NA	"Iridoids and derivatives"	6.40694	-7.47652	0.665861700478708
2227	1203	1203	2227	0.24	-39.995	NA	NA	"Iridoids and derivatives"	6.40694	-7.03639	0.667727718504486
2227	659	659	2227	0.3	-12	NA	NA	"Iridoids and derivatives"	6.40694	-7.0031	0.656220598841861
2227	1698	1698	2227	0.22	316.116	NA	NA	"Iridoids and derivatives"	6.40694	-6.58861	0.618930570182532
4180	2227	4180	2227	0.24	24	NA	NA	"Iridoids and derivatives"	6.40694	-6.54419	0.648781475508819
4786	2227	4786	2227	0.21	12	NA	NA	"Iridoids and derivatives"	6.40694	-6.43872	0.692295344571541
2533	2227	2533	2227	0.26	9.984	NA	NA	"Iridoids and derivatives"	6.40694	-6.36433	0.633771113837575
2227	766	766	2227	0.31	-55.99	NA	NA	"Iridoids and derivatives"	6.40694	-6.11629	0.635590082997296
2227	1130	1130	2227	0.24	-12	NA	NA	"Iridoids and derivatives"	6.40694	-6.07306	0.688196486671387
4776	2227	4776	2227	0.28	-3.995	NA	NA	"Iridoids and derivatives"	6.40694	-6.01732	0.683470470757096
3225	2227	3225	2227	0.27	27.995	NA	NA	"Iridoids and derivatives"	6.40694	-5.8503	0.683725547956636
3546	2227	3546	2227	0.25	9.984	NA	NA	"Iridoids and derivatives"	6.40694	-5.25057	0.603237211437399
2227	2171	2171	2227	0.27	122.036	NA	NA	"Iridoids and derivatives"	6.40694	-5.11935	0.638524859696729
2268	2227	2268	2227	0.23	15.995	NA	NA	"Iridoids and derivatives"	6.40694	-4.49059	0.713840403891637
2664	281	281	2664	0.25	13.98	NA	NA	"Iridoids and derivatives"	6.2192	-7.56017	0.698197938314471
2664	496	496	2664	0.25	0	NA	NA	"Iridoids and derivatives"	6.2192	-7.55257	0.714792258102598
2664	1203	1203	2664	0.22	-12	NA	NA	"Iridoids and derivatives"	6.2192	-7.03639	0.667727718504486
2664	659	659	2664	0.21	15.995	NA	NA	"Iridoids and derivatives"	6.2192	-7.0031	0.656220598841861
2664	1698	1698	2664	0.22	344.111	NA	NA	"Iridoids and derivatives"	6.2192	-6.58861	0.618930570182532
4786	2664	4786	2664	0.22	-15.995	NA	NA	"Iridoids and derivatives"	6.2192	-6.43872	0.692295344571541
2664	1758	1758	2664	0.25	178.026	NA	NA	"Iridoids and derivatives"	6.2192	-6.33154	0.618086660262287
2664	766	766	2664	0.22	-27.995	NA	NA	"Iridoids and derivatives"	6.2192	-6.11629	0.635590082997296
2664	1130	1130	2664	0.22	15.995	NA	NA	"Iridoids and derivatives"	6.2192	-6.07306	0.688196486671387
4776	2664	4776	2664	0.28	-31.99	NA	NA	"Iridoids and derivatives"	6.2192	-6.01732	0.683470470757096
