source	target	group_sub	group	ftalign_similarity	delta_m.z	source_fp_uniq	target_fp_uniq	facet_c	norm_delta_group	norm_delta_group_sub	sub_similarity
1445	376	376	1445	0.16	178.048	NA	NA	Lignans, neolignans and related compounds	6.62467	-7.81306	0.571727375951284
1445	662	662	1445	0.17	370.111	NA	NA	Lignans, neolignans and related compounds	6.62467	-7.59032	0.601082329795955
1445	716	716	1445	0.15	358.127	NA	NA	Lignans, neolignans and related compounds	6.62467	-7.1712	0.567663318792282
1445	1439	1439	1445	0.16	150.053	NA	NA	Lignans, neolignans and related compounds	6.62467	-6.67511	0.60302588436324
1445	331	331	1445	0.15	196.058	NA	NA	Lignans, neolignans and related compounds	6.62467	-6.59063	0.55494087268677
1445	1017	1017	1445	0.17	-11.999	NA	NA	Lignans, neolignans and related compounds	6.62467	-6.56968	0.551028244169185
1746	1445	1746	1445	0.11	-294.095	NA	NA	Lignans, neolignans and related compounds	6.62467	-6.47277	0.656348130873619
2060	1445	2060	1445	0.12	30.01	NA	NA	Lignans, neolignans and related compounds	6.62467	-6.42746	0.567887083732762
1445	354	354	1445	0.15	196.074	NA	NA	Lignans, neolignans and related compounds	6.62467	-6.38876	0.519071300609473
1459	1445	1459	1445	0.13	-150.053	NA	NA	Lignans, neolignans and related compounds	6.62467	-6.12625	0.613098463000264
3775	1445	3775	1445	0.15	12	NA	NA	Lignans, neolignans and related compounds	6.62467	-5.98471	0.573972793691322
1445	847	847	1445	0.14	340.101	NA	NA	Lignans, neolignans and related compounds	6.62467	-5.93104	0.614617196268736
4294	1445	4294	1445	0.13	-282.095	NA	NA	Lignans, neolignans and related compounds	6.62467	-5.66694	0.540370947822392
1855	1445	1855	1445	0.23	-388.137	NA	NA	Lignans, neolignans and related compounds	6.62467	-5.60421	0.512183892454195
4219	1445	4219	1445	0.13	-132.042	NA	NA	Lignans, neolignans and related compounds	6.62467	-5.50876	0.63652496255289
2592	1445	2592	1445	0.22	-216.025	NA	NA	Lignans, neolignans and related compounds	6.62467	-5.45496	0.524748933394103
2427	1445	2427	1445	0.13	-294.057	NA	NA	Lignans, neolignans and related compounds	6.62467	-5.02284	0.508954808014481
1893	1445	1893	1445	0.24	-180.063	NA	NA	Lignans, neolignans and related compounds	6.62467	-4.91868	0.589495457179704
1445	982	982	1445	0.17	-14.015	NA	NA	Lignans, neolignans and related compounds	6.62467	-4.65032	0.511820737230575
1494	1445	1494	1445	0.11	-388.137	NA	NA	Lignans, neolignans and related compounds	6.62467	-4.635	0.511889054616635
2529	376	376	2529	0.17	-134.057	NA	NA	Lignans, neolignans and related compounds	6.51107	-7.81306	0.571727375951284
2529	662	662	2529	0.25	58.006	NA	NA	Lignans, neolignans and related compounds	6.51107	-7.59032	0.601082329795955
2529	716	716	2529	0.31	46.022	NA	NA	Lignans, neolignans and related compounds	6.51107	-7.1712	0.567663318792282
