id	cid
3611	123310911
637	78319676
4815	78319676
3849	57689058
1491	89906074
320	53634296
3308	23844050
405	88710766
1003	61564415
3251	66750411
305	1110
1336	283375
2229	24862168
1467	123214532
999	10627141
640	131248
1057	54578037
2038	102272379
4720	123550649
2922	59273200
4797	443024
2660	58498460
1069	54382488
481	309218
4635	134215370
1086	129769198
4710	59287677
4093	91855613
1113	101589157
2524	3841585
680	101119960
1548	135208601
1957	101456596
4099	129725981
336	1927
2886	69570788
1801	16222678
1424	69122434
2809	68636046
4289	20705512
3105	4026733
2138	87184387
1141	126761321
3443	102120031
3936	431252
4040	88887272
2172	87591256
3605	11185662
1722	23815377
1561	340
3174	58626895
4149	14668902
4680	458186
2055	87157658
156	16064
3209	101044994
3991	67290023
3132	10841930
1979	58265405
3686	23267221
1375	25188794
2758	3082301
3557	101929007
4862	59881172
4749	23469783
2328	117979187
1411	57596231
4385	71724481
2373	101863632
441	101937513
2743	90688077
791	117628086
4888	134185996
4769	89668192
2531	22993098
478	21668725
417	68223168
1541	158002
3887	57429265
270	14236785
2572	90308403
2221	134310020
2421	121232664
1930	102266434
1632	59483290
324	9973796
1901	100953936
2417	122485267
4207	12302406
4791	69195930
3121	104875059
3166	87115856
1259	10943017
1300	75534921
4757	10257947
3573	131831559
230	54133540
3034	89070123
1090	87591254
4231	57689058
196	22750206
4294	11767553
652	134534555
4597	16663321
1959	49866075
2547	57801928
2725	10608739
1663	57007063
2771	102079638
3140	139397882
2064	2775159
636	135307936
3064	6325881
3340	14053616
3854	70694646
3327	117676033
1207	101512767
295	129568
1931	19930980
2261	118247454
2174	118471584
1068	11046831
1349	101456594
4527	101079849
381	44462695
1310	443343
3578	539058
3037	57224321
4258	11391580
3293	134853746
2808	23757166
2695	34179191
4422	340
1806	136765196
4776	102071927
2304	17607401
1173	88154702
4154	581087
3362	101609019
1935	101128590
1942	118668864
1669	16638293
335	124080237
550	636071
4278	129632118
1721	25202590
3276	130024613
80	72348
1887	458186
3892	130025970
2788	89840552
4375	56611836
4163	67786983
4509	130356775
2371	136162840
5	64296300
2240	57494675
2125	23928112
2070	10715056
161	10457
390	129138332
3416	102382586
4658	122451157
3803	57121462
3973	136286706
2762	9831138
3805	123214532
606	22266544
589	93045
4417	19371203
3300	102295214
3038	101109171
4333	60204144
4723	134443538
3697	130433521
720	5362594
843	57509350
3662	11798642
2798	71472189
1502	25132265
1326	57055840
3869	71533359
4852	69122030
2113	21783590
580	58498476
4816	134322036
163	137959919
4378	68874241
1521	67039
3425	68012357
1713	138690378
2715	101916488
3165	10097952
3872	21482708
3690	11306484
1312	345554
1870	87978069
2583	21606501
700	59422698
1238	102498554
392	100956329
2317	22049
1197	102422540
2307	122377044
1780	57772120
1668	134310020
4389	23724709
1446	3082301
2209	338323
2571	69693324
1078	10662882
1156	87724024
831	100067
3598	71404987
2877	87184387
432	24978539
30	4300521
1858	345554
3853	87516252
1241	219934
1883	117805398
3877	101951724
4541	118912712
278	87161650
3512	107114
1298	101202400
1584	11346140
1199	46195664
573	129845678
2119	57136460
1346	122186904
2577	54355503
2927	123330927
934	94282
4046	69122434
1755	71465381
2381	91246582
3411	88104188
2851	21430879
2130	12867463
2694	102272379
2271	10956242
1559	88626371
3111	102385917
2194	128440386
3857	91075216
4740	89871421
