id	cid	canonical_smiles	isomeric_smiles
999	10627141	"COC1=CC(=CC(=C1O)OC)C2C3COC(C3CO2)C4=CC(=C(C=C4)OC(CO)C(C5=CC(=C(C=C5)O)OC)O)OC"	"COC1=CC(=CC(=C1O)OC)[C@H]2[C@@H]3CO[C@H]([C@@H]3CO2)C4=CC(=C(C=C4)O[C@H](CO)[C@H](C5=CC(=C(C=C5)O)OC)O)OC"
998	121439	"C1=CC(=CC=C1NC2C(C(C(C(O2)CO)O)O)O)S(=O)(=O)C3=CC=C(C=C3)NC4C(C(C(C(O4)CO)O)O)O"	"C1=CC(=CC=C1NC2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)S(=O)(=O)C3=CC=C(C=C3)NC4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)O)O"
996	71397608	"C1=CC(=CC=C1[N+](=O)[O-])S(=O)(=O)CC2=CC=C(O2)[N+](=O)[O-]"	"C1=CC(=CC=C1[N+](=O)[O-])S(=O)(=O)CC2=CC=C(O2)[N+](=O)[O-]"
995	102509218	"C1=CC=C(C(=C1)C=CC(=[O+])O)O"	"C1=CC=C(C(=C1)/C=C/C(=[O+])O)O"
994	18424665	"CC(CCC(C(=O)O)O)O"	"CC(CCC(C(=O)O)O)O"
991	6324894	"CC1(C(CC2C1C(OC=C2C(=O)OC)OC3C(C(C(C(O3)CO)O)O)O)O)O"	"C[C@@]1([C@H](CC2[C@@H]1[C@@H](OC=C2C(=O)OC)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O"
990	123986139	"CC(=O)OCC1C(C(CC(O1)OC2C(OC(C(C2OC(=O)C)OC(=O)C)OCC=C)COC(=O)C)OC(=O)C)OC(=O)C"	"CC(=O)OCC1C(C(CC(O1)OC2C(OC(C(C2OC(=O)C)OC(=O)C)OCC=C)COC(=O)C)OC(=O)C)OC(=O)C"
989	266656	"CC1C(C(C(C(O1)OC(=O)C)OC(=O)C)OC(=O)C)OC2C(C(C(C(O2)COC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C"	"CC1C(C(C(C(O1)OC(=O)C)OC(=O)C)OC(=O)C)OC2C(C(C(C(O2)COC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C"
987	71368032	"C#CCOCC(COCCOCCOCCOCCOCC(COCC#C)O)O"	"C#CCOCC(COCCOCCOCCOCCOCC(COCC#C)O)O"
98	58070895	"C=CCCC(=O)CCCCCCC(=O)O"	"C=CCCC(=O)CCCCCCC(=O)O"
984	71552450	"COC(=O)C1=COC(C2C1CC=C2CO)OC3C(C(C(C(O3)COC4C(C(CO4)(CO)O)O)O)O)O"	"COC(=O)C1=CO[C@H]([C@H]2[C@@H]1CC=C2CO)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO[C@H]4[C@@H]([C@](CO4)(CO)O)O)O)O)O"
983	12047161	"CC=C1C(C(=COC1OC2C(C(C(C(O2)CO)O)O)O)C(=O)OC)CC(=O)OCC(C3CCC(C3C(=O)O)C)C(=O)O"	"C/C=C/1\[C@@H](C(=CO[C@H]1O[C@H]2[C@@H]([C@@H]([C@H]([C@H](O2)CO)O)O)O)C(=O)OC)CC(=O)OC[C@H]([C@H]3CC[C@@H]([C@H]3C(=O)O)C)C(=O)O"
981	88302477	"C(C(C#CO)O)O"	"C(C(C#CO)O)O"
980	87519125	"COC1=CC(=CC(=C1OC)OC)C2=COC3=C(C2=O)C(=C(C(=C3)O)O)O"	"COC1=CC(=CC(=C1OC)OC)C2=COC3=C(C2=O)C(=C(C(=C3)O)O)O"
979	101974192	"C(COC(C(C(C(CO)O)O)O)C(=O)O)O"	"C(COC(C(C(C(CO)O)O)O)C(=O)O)O"
975	71298094	"CC(=O)NC1C(C(C(OC1OC2C(C(C(OC2C(=O)O)OC3C(C(OC(C3O)OC4C(C(OC(C4O)CO)O)NC(=O)C)CO)O)O)O)CO)O)O"	"CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O[C@H]2[C@@H]([C@H]([C@@H](O[C@@H]2C(=O)O)O[C@H]3[C@H]([C@H](O[C@H]([C@@H]3O)O[C@H]4[C@H]([C@H](OC([C@@H]4NC(=O)C)O)CO)O)CO)O)O)O)CO)O)O"
971	123616970	"COC1=C(C=CC(=C1)CO)OC(=O)C2=CC=CC(=C2)C3=CC4=C(C=CC=C4C(=O)OC5=CC=C(C=C5)CO)C=C3"	"COC1=C(C=CC(=C1)CO)OC(=O)C2=CC=CC(=C2)C3=CC4=C(C=CC=C4C(=O)OC5=CC=C(C=C5)CO)C=C3"
96	9803073	"CC(C)C(C(=O)NC(CCCN=C(N)N)C(=O)NC(CC1=CC=C(C=C1)O)C(=O)O)N"	"CC(C)[C@@H](C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CC1=CC=C(C=C1)O)C(=O)O)N"
969	45360083	"CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC=CC=C3C(=O)OC)CO)O)O)O)O)O"	"C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=CC=CC=C3C(=O)OC)CO)O)O)O)O)O"
9	68917905	"C1=CC(=CC(=C1)OCCCCCCCCCCC(=O)O)O"	"C1=CC(=CC(=C1)OCCCCCCCCCCC(=O)O)O"
968	69350379	"C1=CC(=C(C=C1O)C2C(C(C(C(O2)CO)O)O)O)CCC(=O)C3=C(C=C(C=C3)O)O"	"C1=CC(=C(C=C1O)C2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)CCC(=O)C3=C(C=C(C=C3)O)O"
966	45359564	"CCCCCCCCC(=O)C=CC=CC(=O)CCCC(=O)O"	"CCCCCCCCC(=O)/C=C/C=C/C(=O)CCCC(=O)O"
965	21630837	"CC(=CCOC1C(C(C(C(O1)CO)O)O)O)CCC=C(C)COC2C(C(C(C(O2)CO)O)O)O"	"C/C(=C\CO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)/CC/C=C(\C)/CO[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O"
963	91329018	"C1=CC=C(C(=C1)CO)OC2C(C(C(C(O2)OC(=O)C3=CC=CC=C3O)O)O)O"	"C1=CC=C(C(=C1)CO)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)OC(=O)C3=CC=CC=C3O)O)O)O"
960	54031043	"C1=CC(=C(C=C1O)SC2C(C(C(C(O2)CO)OC3C(C(C(C(O3)CO)O)O)O)O)O)O"	"C1=CC(=C(C=C1O)S[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O)O"
958	6440568	"C1=CC(C2C1C(=COC2OC3C(C(C(C(O3)CO)O)O)O)C(=O)O)(COC(=O)C=CC4=CC=C(C=C4)O)O"	"C1=C[C@@]([C@@H]2[C@H]1C(=CO[C@H]2O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)C(=O)O)(COC(=O)/C=C\C4=CC=C(C=C4)O)O"
957	19993526	"CCOP(=O)(COCCCON1C=NC2=C(N=CN=C21)N)OCC"	"CCOP(=O)(COCCCON1C=NC2=C(N=CN=C21)N)OCC"
956	101066520	"C1=CC=C(C(=C1)C(=O)O)[O]"	"C1=CC=C(C(=C1)C(=O)O)[O]"
955	11481037	"C=CCCCCC(=O)CCCC(=O)O"	"C=CCCCCC(=O)CCCC(=O)O"
949	10367775	"COC1=CC(=CC(=C1OC)OC)OC2C(C(C(C(O2)COC3C(C(C(CO3)O)O)O)O)O)O"	"COC1=CC(=CC(=C1OC)OC)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO[C@H]3[C@@H]([C@H]([C@@H](CO3)O)O)O)O)O)O"
948	242196	"C1=CC(=CC=C1C(C2=CC=C(C=C2)O)C(C(C(C(CO)O)O)O)O)O"	"C1=CC(=CC=C1C(C2=CC=C(C=C2)O)C(C(C(C(CO)O)O)O)O)O"
947	57261109	"C1=NC2=C(N1C3C(C(C(O3)CO)O)O)N=C(N(C2N)N4C=NC5=C(N=C(N=C54)N)N)N"	"C1=NC2=C(N1[C@H]3C(C([C@H](O3)CO)O)O)N=C(N(C2N)N4C=NC5=C(N=C(N=C54)N)N)N"
945	91544006	"C1=CC(=CC=C1CC(C2=CC=C(C=C2)O)C(CCC(O)O)CCC(O)O)O"	"C1=CC(=CC=C1CC(C2=CC=C(C=C2)O)C(CCC(O)O)CCC(O)O)O"
942	129926350	"C1CC(CCCC(C1)O)C(=O)O"	"C1CC(CCCC(C1)O)C(=O)O"
941	57689058	"CCCCC(=O)OCC1C(C(C(C(O1)OOC(=C)CCC)OOC(=C)CCC)OOC(=C)CCC)OC(=O)CCC"	"CCCCC(=O)OCC1C(C(C(C(O1)OOC(=C)CCC)OOC(=C)CCC)OOC(=C)CCC)OC(=O)CCC"
940	102023794	"CC1=C(C2=CC(=C1O)C(C3=CC(=C(C(=C3O)C)O)C(C4=C(C(=C(C(=C4)C(C5=C(C(=C(C(=C5)C2O)O)C)O)O)O)C)O)O)O)O"	"CC1=C(C2=CC(=C1O)C(C3=CC(=C(C(=C3O)C)O)C(C4=C(C(=C(C(=C4)C(C5=C(C(=C(C(=C5)C2O)O)C)O)O)O)C)O)O)O)O"
939	9476	"C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O"	"C1[C@H]([C@H]([C@@H](C[C@@]1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O"
938	89685558	"C1=CC(=CC=C1CCC(=O)NC2=CN(C(=O)N=C2N)C3C(C(C(O3)COP(=O)(O)O)O)O)O"	"C1=CC(=CC=C1CCC(=O)NC2=CN(C(=O)N=C2N)[C@H]3C(C([C@H](O3)COP(=O)(O)O)O)O)O"
