sharedname	SMARTS	complementary
Frag_0	[+]	(1)
Frag_4	[#6][CX3](=O)[#6]	(5ketone)
Frag_17	[#6,#1]C([#6,#1])([OH])(O[#6])	(18hemiacetal)
Frag_18	[#6,#1]C([#6,#1])(O[#6])(O[#6])	(19acetal)
Frag_19	[#6,#1]C([#6,#1])(N([#6,#1])[#6,#1])(O[#6])	(20hemiaminal)
Frag_20	[#6,#1]C([#6,#1])(N([#6,#1])[#6,#1])(N([#6,#1])[#6,#1])	(21aminal)
Frag_21	[#6,#1]C([#6,#1])(N([#6,#1])[#6,#1])([S][#6])	(22thiohemiaminal)
Frag_25	[#6,#1]C([#6,#1])=C([#6,#1])O[#6]	(26enolether)
Frag_27	C[OH]	(28alcohol)
Frag_29	[#6][CH]([#6])[OH]	(30secondaryalcohol)
Frag_30	[#6][C]([#6])([#6])[OH]	(31tertiaryalcohol)
Frag_31	[#6,#1]C([#6,#1])([OH])C([#6,#1])([#6,#1])[OH]	(321,2-diol)
Frag_32	[#6,#1]C([#6,#1])([OH])C([#6,#1])([#6,#1])[NH2]	(331,2-aminoalcohol)
Frag_33	c[OH]	(34phenol)
Frag_34	[OH]cc[OH]	(351,2-diphenol)
Frag_37	COC	(38dialkylether)
Frag_38	cOC	(39alkylarylether)
Frag_39	cOc	(40diarylether)
Frag_40	[#6]S[#6]	(41thioether)
Frag_46	[!#6;!$([+0]);!$([F,Cl,Br,I]);!$([o,s,nX3]);!$([Nv5,Pv5,Sv4,Sv6])]	(202HBA)
Frag_47	[$([N,O;!H0]),$(N(C)(C)C)]	(203HBD)
Frag_48	[R]	(204Ring)
Frag_49	[$([$([C;$(C=[$([O;D1;$(O=C)])])]);$(C[$([O;$([H1&-0,H0&-1])])]);$(C[#6,#1])])]	(205carboxylicacid)
Frag_50	[$([$([C;$(C=[$([O;D1;$(O=C)])])]);$(C(=O)O[#6]);$(C[#6,#1])])]	(206ester)
Frag_51	[$([N;+0,+1;$(N(=O)~[O;H0;-0,-1])])]	(207nitro)
Frag_53	[$([N;!$(N*=[!#6])]);$(N[$([a])]);!$(N~[!#6])]	(209aniline)
Frag_54	[$([N;$(N[$([$([C;$(C=[$([O;D1;$(O=C)])])]);$(C(=O)(N)N)])])])]	(210urea)
Frag_55	[CX4H3][#6]	(Primary_carbon)
Frag_56	[CX4H2]([#6])[#6]	(Secondary_carbon)
Frag_57	[CX4H1]([#6])([#6])[#6]	(Tertiary_carbon)
Frag_59	[CX3;$([H2]),$([H1][#6]),$(C([#6])[#6])]=[CX3;$([H2]),$([H1][#6]),$(C([#6])[#6])]	(Alkene)
Frag_60	[CX2]#[CX2]	(Alkyne)
Frag_62	[ClX1][CX4]	(Alkylchloride)
Frag_63	[FX1][CX4]	(Alkylfluoride)
Frag_66	[OX2H][CX4;!$(C([OX2H])[O,S,#7,#15])]	(Alcohol)
Frag_70	[OX2]([CX4;!$(C([OX2])[O,S,#7,#15,F,Cl,Br,I])])[CX4;!$(C([OX2])[O,S,#7,#15])]	(Dialkylether)
Frag_71	[SX2]([CX4;!$(C([OX2])[O,S,#7,#15,F,Cl,Br,I])])[CX4;!$(C([OX2])[O,S,#7,#15])]	(Dialkylthioether)
Frag_72	[OX2](c)[CX4;!$(C([OX2])[O,S,#7,#15,F,Cl,Br,I])]	(Alkylarylether)
Frag_75	[c][SX2][c]	(Diarylthioether)
Frag_77	[NX3+0,NX4+;!$([N]~[!#6]);!$([N]*~[#7,#8,#15,#16])]	(Amine)
Frag_78	[NX3H2+0,NX4H3+;!$([N][!C]);!$([N]*~[#7,#8,#15,#16])]	(Primary_aliph_amine)
Frag_79	[NX3H1+0,NX4H2+;!$([N][!C]);!$([N]*~[#7,#8,#15,#16])]	(Secondary_aliph_amine)
Frag_80	[NX3H0+0,NX4H1+;!$([N][!C]);!$([N]*~[#7,#8,#15,#16])]	(Tertiary_aliph_amine)
Frag_81	[NX4H0+;!$([N][!C]);!$([N]*~[#7,#8,#15,#16])]	(Quaternary_aliph_ammonium)
Frag_82	[NX3H2+0,NX4H3+]c	(Primary_arom_amine)
Frag_83	[NX3H1+0,NX4H2+;!$([N][!c]);!$([N]*~[#7,#8,#15,#16])]	(Secondary_arom_amine)
Frag_87	[NX3H0+0,NX4H1+;$([N]([c])([C])[#6]);!$([N]*~[#7,#8,#15,#16])]	(Tertiary_mixed_amine)
Frag_90	[SX2H][CX4;!$(C([SX2H])~[O,S,#7,#15])]	(Alkylthiol)
Frag_91	[SX2]([CX4;!$(C([SX2])[O,S,#7,#15,F,Cl,Br,I])])[CX4;!$(C([SX2])[O,S,#7,#15])]	(Dialkylthioether)
Frag_92	[SX2](c)[CX4;!$(C([SX2])[O,S,#7,#15])]	(Alkylarylthioether)
Frag_94	[OX2H][CX4;!$(C([OX2H])[O,S,#7,#15,F,Cl,Br,I])][CX4;!$(C([N])[O,S,#7,#15])][NX3;!$(NC=[O,S,N])]	(1,2-Aminoalcohol)
Frag_106	[NX2;$([N][#6]),$([NH]);!$([N][CX3]=[#7,#8,#15,#16])]=[CX3;$([CH2]),$([CH][#6]),$([C]([#6])[#6])]	(Imine)
Frag_111	[OX2H][CX4;!$(C(O)(O)[!#6])][OX2][#6;!$(C=[O,S,N])]	(Hemiacetal)
