source	target	tfalign	delta_mass	fp_source_uniq	fp_target_uniq
100	20	0.807729	-.0006355872521	NA	NA
1002	322	0.441138	-.00009080580064	source:1019,1049,1051,1067,1068,1083,1104,1105,1120,1135,1141,1156,1193,1224,1286,238,329,426,4462,4486,482,673,7607,785,8495,8651,868,893,900,913,931,946,970,981	target:2972
100	62	0.434743	-.00015640258788	source:463,485	target:354,454,473,48,948
100	63	0.555781	-.00038146972656	source:	target:354,454,473,948
100	64	0.889249	-.00047149658203	source:	target:354,356,473,491
100	67	0.555781	-.0003433227539	source:463,485,842	target:354,356,491
100	69	0.597275	-.00026321411132	source:	target:354,356,491,948
100	74	0.555781	-.00070190429687	source:	target:454,473,491,948
100	75	0.555781	-.00038528442382	source:	target:354,454,473,948
100	76	0.434743	-.00036239624023	source:	target:354,48,491,948
100	78	0.555781	-.00000762939452	source:	target:354,454,473,948
100	84	0.889249	-.00053405761718	source:	target:354,356,491
100	99	0.555781	.0001678466797	source:	target:354,473,948
1011	881	0.685966	163.05603841145837	NA	NA
1017	909	0.583874	.09225445701958	source:1165,1705,4632,47,472,5048,5158,516,518,521,56	target:1068,1106,1168,329,458,478,48,707,918,948
1018	884	0.555549	-212.0684807187036	NA	NA
1018	953	0.543914	-212.4135684058781	NA	NA
1019	952	0.453675	-.04952298677870	NA	NA
1021	102	0.431553	-152.15549062753650	NA	NA
1021	79	0.498184	-35.03671098188926	source:1238,411,48,4848,502,510,59,7549,958	target:1044,1752,1754,1756,356,47,472,477,479,490,5120,514,5158,516,518,519,5290,6510,6749,7075,7803,813,814
1021	888	0.450797	-34.00501498928321	source:1224,1238,411,48,4848,502,510,59,7549,958	target:1063,1145,1165,1212,1217,1226,1232,142,2601,27,354,451,47,484,4863,490,493,500,5079,5109,5117,5120,5127,5130,5135,5138,5145,5152,518,5196,814,948,980
1021	973	0.612786	-334.06652631663316	source:1224,1238,411,4848,502,508,59,7549,958	target:1095,1099,1142,1145,1165,1167,1190,1191,1209,1217,1218,1226,1228,1229,1409,142,1706,2062,2601,27,29,31,356,37,3955,3956,3972,415,418,433,450,451,47,4736,476,477,4816,4835,4836,484,4844,487,488,490,492,493,50,500,5107,5120,5124,5127,513,5130,5135,5138,514,5145,5152,5154,516,518,5196,5198,5214,5367,5379,5423,66,7413,814,867,874,894,933,948,980
1022	356	0.574371	340.26024803748498	NA	NA
1022	996	0.513116	-.0003021240234	source:1207,1216,1217,1224,1225,1226,1227,1238,1239,1240,1426,2562,2564,333,411,427,435,473,4796,48,4802,4807,4816,4848,488,5001,5065,513,5130,5133,59,6294,707,7070,713,720,721,728,7322,7549,8403,8427,8428,8433,8566,867	target:1056,1068,1120,1141,1171,354,451,452,465,472,492,5069,5124,5126,5137,514,5141,5148,5158,516,517,519,5190,5290,5334,813,893,918
1026	874	0.477452	162.05317382812505	source:1064,1068,1088,1097,1130,1141,1142,1164,1184,1409,1705,1706,238,27,329,356,37,3956,415,436,438,440,441,453,456,458,459,4632,478,481,482,483,4844,4863,492,493,5048,5100,5107,511,5114,512,514,5145,516,517,519,5196,5423,709,7413,813,8428,907,917,918,933	target:1044,1069,1072,1101,1106,1145,1159,1168,1195,1200,1207,1216,1217,1227,1238,1242,1263,1305,1326,1352,1534,1541,191,3053,3179,3181,33,34,4418,484,4848,4967,4968,4999,505,59,6020,6178,6281,6333,6431,6595,6878,7021,707,8081,8126,8202,8248,8406,8437,8491,884,958
1026	878	0.560628	.0006103515625	source:1064,1068,1088,1097,1130,1141,1164,1184,238,354,436,438,440,441,453,456,458,478,481,482,483,4863,512,517,519,813,8428,907,917,918	target:1044,1069,1072,1099,1101,1106,1122,1145,1167,1168,117,1189,1190,1200,1207,1209,1216,1217,1218,1229,1238,1242,1263,1305,1326,1352,1410,1534,1541,1698,18,1902,191,29,3053,31,3181,33,335,336,3955,4083,414,418,4418,443,450,451,452,4568,470,4816,4835,4836,484,4848,487,4967,4999,5120,5135,5138,5152,59,6018,6020,6178,6225,6281,6595,66,6677,6696,6869,6878,7008,7021,707,7089,7105,7111,713,7153,7303,7350,7480,7639,7640,7707,7760,7959,7968,8081,8083,8104,8202,8248,8252,8270,8406,8437,8491,8521,8568,867,8730,874,875,884,894,895,958
1026	883	0.440247	162.05359649658207	source:1064,1068,1088,1097,1130,1141,1142,1164,1184,1191,1409,142,1705,1706,238,27,329,356,37,3956,415,436,438,440,441,453,456,458,459,4632,478,481,482,483,4844,4863,492,493,5048,5100,5107,511,5114,512,514,5145,516,517,519,5196,5423,709,7413,813,8428,907,917,918,933	target:1044,1069,1072,1101,1106,1145,1168,1195,1200,1207,1216,1217,1227,1238,1242,1263,1305,1326,1352,1534,1541,191,3053,3179,3181,33,4418,484,4848,4967,4999,59,6020,6178,6281,6595,6878,7021,707,8081,8126,8248,8406,8437,8491,884,958
1026	904	0.427936	.0008260091146	source:1064,1068,1088,1097,1130,1141,1164,1184,142,238,354,436,438,440,441,453,456,458,478,481,482,483,4863,512,517,519,813,8428,907,917,918	target:1044,1069,1072,1099,1101,1106,1122,1145,1167,1168,117,1189,1190,1200,1207,1209,1216,1217,1218,1228,1229,1238,1242,1305,1352,1410,1534,1541,1698,18,1902,191,29,3053,31,3181,33,335,336,3955,4083,414,418,4418,443,450,451,452,4568,470,4816,4835,4836,484,4848,487,5120,5135,5138,5152,59,6018,6020,6225,6281,6595,66,6677,6696,6869,6878,7008,7021,707,7089,7105,7111,713,7153,7303,7350,7480,7639,7640,7707,7760,7959,7968,8081,8083,8104,8126,8252,8270,8406,8437,8491,8521,8568,867,8730,874,875,884,894,895,958
1026	980	0.570362	-.18607635498044	source:1064,1068,1081,1088,1095,1097,1130,1141,1142,1164,1165,1169,1183,1184,1191,1409,142,1705,1706,238,27,329,341,354,356,361,37,3956,415,433,436,438,440,441,453,456,458,459,4632,47,474,478,48,481,482,483,4844,4863,488,492,493,500,5048,5100,5107,511,5114,512,513,514,5145,516,517,518,519,5196,5423,6633,709,7413,7737,813,814,8428,907,917,918,933,948	target:
1026	992	0.464917	15.9961021423340	source:1064,1068,1088,1097,1130,1141,1164,1184,1705,1706,238,329,354,436,438,440,441,453,456,458,459,478,481,482,483,493,512,514,516,517,519,709,7413,813,907,917,918	target:1044,1069,1072,1099,1101,1106,1122,1145,1167,1168,1190,1200,1207,1209,1216,1217,1218,1238,1242,1263,1352,139,1410,1534,1541,1700,191,2601,29,3053,3061,31,3181,34,3955,4083,4418,450,4736,4816,484,4848,487,4999,50,505,5120,5135,5138,5152,5198,5367,5379,59,6018,6020,6218,6238,6281,6431,6595,66,6696,6738,6878,7006,7008,7021,707,7105,7153,7480,7659,7707,7818,7959,8081,8104,8126,8206,8248,8316,8406,8412,8437,8448,8491,867,874,884,894,958,980
1027	103	0.443419	.00036973219650	source:47,473,500	target:142,2601,356,484,497,948,980
1027	106	0.738764	.00035447340745	source:47,500	target:
1027	108	0.443419	.00044221144455	source:47,473,500	target:142,2601,356,4736,484,814,948,980
1027	110	0.563199	-.00005751389725	source:47,500	target:142,356,454,467,484,518,814,948,980
